# [No.1] construct_wrapper.28
# In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(101)/    def construct(self, source_input, image_vec):/
funcgraph fg_28(
        %para1 : Tensor(F32)[4, 512, 1024]    # source_input
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(106)/        return self.cast(total_loss, mstype.float32)/#[CNode]47
    Primitive::Return{prim_type=1}(%3)    #(Undefined) #scope: Default
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(106)/        return self.cast(total_loss, mstype.float32)/#[CNode]48
}
# order:
#   1: construct.42:similarity_matrix{[0]: ValueNode<FuncGraph> construct.46, [1]: source_input, [2]: image_vec}
#   2: construct.42:total_loss{[0]: ValueNode<FuncGraph> construct.43, [1]: similarity_matrix}
#   3: construct.42:[CNode]47{[0]: ValueNode<DoSignaturePrimitive> S-Prim-Cast, [1]: total_loss, [2]: ValueNode<Float> Float32}
#   4: construct.42:[CNode]48{[0]: ValueNode<Primitive> Return, [1]: [CNode]47}


# [No.3] construct.43
# In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(67)/    def construct(self, similarity_matrix):/
funcgraph fg_43(
        %para292 : Tensor(F32)[4, 4]    # similarity_matrix
    ) {
    %1 : Tuple[String] = DoSignaturePrimitive::S-Prim-MakeTuple{prim_type=1}("similarity_matrix")    #(String) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(75)/        label_matrix = Tensor(np.identity(similarity_matrix.shape[0]), dtype=mstype.float32)/#[CNode]49
    %2 : Tuple[Tensor(F32)] = DoSignaturePrimitive::S-Prim-MakeTuple{prim_type=1}(%para292)    #(Tensor(F32)[4, 4]) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(75)/        label_matrix = Tensor(np.identity(similarity_matrix.shape[0]), dtype=mstype.float32)/#[CNode]50
    %3 : Dictionary[[similarity_matrix,],[Tensor[Float32]]] = DoSignaturePrimitive::S-Prim-make_dict{prim_type=1}(%1, %2)    #(Tuple[String], Tuple[Tensor(F32)]) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(75)/        label_matrix = Tensor(np.identity(similarity_matrix.shape[0]), dtype=mstype.float32)/#[CNode]51

#------------------------> 2
    %4 = Primitive::PyInterpret{prim_type=1}(Script['Tensor(np.identity(similarity_matrix.shape[0]), dtype=mstype.float32)'], {"Tensor": ClassType, "np": NameSpace::Module, "mstype": NameSpace::Module}, %3)    #(String, Dictionary[[Tensor,np,mstype,],[kMetaTypeTypeType,kMetaTypeExternal*2]], Dictionary[[similarity_matrix,],[Tensor[Float32]]]) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(75)/        label_matrix = Tensor(np.identity(similarity_matrix.shape[0]), dtype=mstype.float32)/#label_matrix
    %5 = DoSignaturePrimitive::S-Prim-SoftmaxCrossEntropyWithLogits{prim_type=1}(%para292, %4)    #(Tensor(F32)[4, 4], Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(80)/        loss, dlogits = self.loss_fn(similarity_matrix, label_matrix)/#[CNode]52
    %6 = DoSignaturePrimitive::S-Prim-getitem{prim_type=1}(%5, I64(1))    #(Undefined, Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(80)/        loss, dlogits = self.loss_fn(similarity_matrix, label_matrix)/#dlogits
    %7 = Primitive::stop_gradient{prim_type=1}(%6)    #(Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(105)/        total_loss = self.loss(similarity_matrix)/#[CNode]53
    %8 = DoSignaturePrimitive::S-Prim-getitem{prim_type=1}(%5, I64(0))    #(Undefined, Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(80)/        loss, dlogits = self.loss_fn(similarity_matrix, label_matrix)/#loss
    %9 = DoSignaturePrimitive::S-Prim-ReduceMean{prim_type=1}[output_names=["y"], keep_dims=Bool(0), input_names=["input_x", "axis"]](%8)    #(Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(82)/        loss = self.reduce_mean(loss)/#loss
    %10 = Primitive::Depend{prim_type=1}[side_effect_propagate=I64(1)](%9, %7)    #(Undefined, Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(105)/        total_loss = self.loss(similarity_matrix)/#[CNode]54
    Primitive::Return{prim_type=1}(%10)    #(Undefined) #scope: Default/loss-VQASimTrainingLoss
      # In file /nfs4-p1/ljt/NLP/final_project/wez/vqa/vqasim_for_train.py(83)/        return loss/#[CNode]55
}
# order:
#   1: construct.43:[CNode]49{[0]: ValueNode<DoSignaturePrimitive> S-Prim-MakeTuple, [1]: ValueNode<StringImm> similarity_matrix}
#   2: construct.43:[CNode]50{[0]: ValueNode<DoSignaturePrimitive> S-Prim-MakeTuple, [1]: similarity_matrix}
#   3: construct.43:[CNode]51{[0]: ValueNode<DoSignaturePrimitive> S-Prim-make_dict, [1]: [CNode]49, [2]: [CNode]50}
#   4: construct.43:label_matrix{[0]: ValueNode<Primitive> PyInterpret, [1]: ValueNode<Script> 'Tensor(np.identity(similarity_matrix.shape[0]), dtype=mstype.float32)', [2]: ValueNode<ValueDictionary> dict: {keys: (Tensor, np, mstype), values: (class 'mindspore.common.tensor.Tensor', Module: 'Namespace:numpy', Module: 'Namespace:mindspore.common.dtype')}, [3]: [CNode]51}
#   5: construct.43:[CNode]52{[0]: ValueNode<DoSignaturePrimitive> S-Prim-SoftmaxCrossEntropyWithLogits, [1]: similarity_matrix, [2]: label_matrix}
#   6: construct.43:loss{[0]: ValueNode<DoSignaturePrimitive> S-Prim-getitem, [1]: [CNode]52, [2]: ValueNode<Int64Imm> 0}
#   7: construct.43:dlogits{[0]: ValueNode<DoSignaturePrimitive> S-Prim-getitem, [1]: [CNode]52, [2]: ValueNode<Int64Imm> 1}
#   8: construct.43:loss{[0]: ValueNode<DoSignaturePrimitive> S-Prim-ReduceMean, [1]: loss}
#   9: construct.43:[CNode]55{[0]: ValueNode<Primitive> Return, [1]: [CNode]54}


#===============================================================================
# num of function graphs in stack: 3
